ID Aerosol Stationary Activity Minute
1 1.8 0.83 WatchingTV 1
1 1.44 1.57 WatchingTV 2
1 1.97 2.07 WatchingTV 3
1 2.28 4.04 WatchingTV 4
1 2.33 4.08 WatchingTV 5
1 3.38 5.39 WatchingTV 6
1 2.39 2.27 WatchingTV 7
1 1.78 0.78 VideoGames 8
1 4.85 3.6 VideoGames 9
1 5.58 4.69 VideoGames 10
1 4.42 3.76 VideoGames 11
1 3.15 3.69 VideoGames 12
1 3.37 1.9 VideoGames 13
1 4.6 2.4 VideoGames 14
1 4.15 3 VideoGames 15
1 2.89 2.16 PlayingOnFloor 16
1 2.62 4.33 PlayingOnFloor 17
1 1.41 3.05 PlayingOnFloor 18
1 1.33 4.99 PlayingOnFloor 19
1 2.8 2.71 PlayingOnFloor 20
1 3.08 3.63 PlayingOnFloor 21
1 2.81 2.3 PlayingOnFloor 22
1 4.88 1.06 PlayingOnFurniture 23
1 3.79 1.77 PlayingOnFurniture 24
1 4.44 1.39 PlayingOnFurniture 25
1 4.88 2.01 PlayingOnFurniture 26
1 2.96 1.11 PlayingOnFurniture 27
1 2.7 3.07 PlayingOnFurniture 28
1 2.54 3.86 PlayingOnFurniture 29
1 3.19 2.23 PlayingOnFurniture 30
1 1.78 1.34 OnPhone 31
1 1.62 1.16 OnPhone 32
1 2.34 4.28 OnPhone 33
1 2.82 10.35 OnPhone 34
1 3.49 3.88 OnPhone 35
1 4.85 5.05 OnPhone 36
1 5.67 3.83 OnPhone 37
1 4.39 1.72 OnPhone 38
1 7.1 4.24 Walking 39
1 10.63 5.89 Walking 40
1 6.83 4.21 Walking 41
1 10.04 4.56 Walking 42
1 7.86 2.24 Walking 43
1 7.29 1.35 Walking 44
1 6.58 2.16 Walking 45
1 5.51 1.95 Homework 46
1 5.59 2.64 Homework 47
1 5.15 3.82 Homework 48
1 4.47 3.7 Homework 49
1 4.68 2.32 Homework 50
1 6.21 2.25 Homework 51
1 8.5 1.66 Homework 52
1 7.8 2.32 Computer 53
1 8.89 2.99 Computer 54
1 5.47 5.97 Computer 55
1 3.64 2.33 Computer 56
1 3.48 3.5 Computer 57
1 1.8 1.41 Computer 58
1 1.75 1.35 Computer 59
2 46.68 2.75 Walking 1
2 35.68 3.1 Walking 2
2 21.68 2.54 Walking 3
2 26.57 8.24 Walking 4
2 20.34 1.82 Walking 5
2 11.97 0.9 Walking 6
2 6.49 1.37 Walking 7
2 3.83 1.78 Computer 8
2 3.11 4.52 Computer 9
2 2.69 2.2 Computer 10
2 2.44 5.14 Computer 11
2 2.38 1.66 Computer 12
2 2.47 4.32 Computer 13
2 1.94 3.71 Computer 14
2 2.58 1.11 PlayingOnFloor 15
2 5.56 2.81 PlayingOnFloor 16
2 6.01 6.47 PlayingOnFloor 17
2 6.29 6.58 PlayingOnFloor 18
2 4.86 3.45 PlayingOnFloor 19
2 2.75 3.04 PlayingOnFloor 20
2 2.21 3.14 PlayingOnFloor 21
2 3.71 1.22 PlayingOnFloor 22
2 7.93 1.37 Homework 23
2 6.26 2.42 Homework 24
2 6.08 3.08 Homework 25
2 6.05 1.46 Homework 26
2 5.51 4.28 Homework 27
2 6.65 4.35 Homework 28
2 5.98 10.51 Homework 29
2 5.92 1.98 WatchingTV 30
2 6.38 1.16 WatchingTV 31
2 5.54 0.86 WatchingTV 32
2 7.62 4.09 WatchingTV 33
2 8.36 3.36 WatchingTV 34
2 9.79 2.47 WatchingTV 35
2 6.13 2.01 WatchingTV 36
2 4.15 2.01 WatchingTV 37
2 6 5.4 VideoGames 38
2 6.73 3.57 VideoGames 39
2 8.76 2.34 VideoGames 40
2 9.77 1.38 VideoGames 41
2 8.31 2.58 VideoGames 42
2 9.9 2.81 VideoGames 43
2 17.77 4.72 VideoGames 44
2 10.2 2.58 VideoGames 45
2 11.15 1.72 VideoGames 46
2 3.13 2.6 PlayingOnFurniture 47
2 5.41 2.24 PlayingOnFurniture 48
2 4.82 2.63 PlayingOnFurniture 49
2 5.04 5.4 PlayingOnFurniture 50
2 3.88 3.51 PlayingOnFurniture 51
2 4.59 3.91 PlayingOnFurniture 52
2 5.29 8.03 PlayingOnFurniture 53
2 5.16 3.65 PlayingOnFurniture 54
2 10.5 2.6 OnPhone 55
2 8.95 1.54 OnPhone 56
2 11.08 1.81 OnPhone 57
2 12.48 2.43 OnPhone 58
2 10.18 2.12 OnPhone 59
3 0.21 4.4 WatchingTV 1
3 0.19 2.2 WatchingTV 2
3 0.22 8.39 WatchingTV 3
3 0.12 4.27 WatchingTV 4
3 0.16 1.35 WatchingTV 5
3 0.13 2.55 WatchingTV 6
3 0.17 7.89 WatchingTV 7
3 0.27 2.96 WatchingTV 8
3 0.52 3.16 WatchingTV 9
3 0.39 1.88 Walking 10
3 0.46 3.49 Walking 11
3 0.84 4.01 Walking 12
3 0.98 2.5 Walking 13
3 0.42 1.44 Walking 14
3 0.74 3.81 Walking 15
3 1.2 7.21 Walking 16
3 1.26 3.77 Homework 17
3 1.41 6.04 Homework 18
3 0.96 2.13 Homework 19
3 0.88 3.88 Homework 20
3 0.47 1.83 Homework 21
3 0.43 2.64 Homework 22
3 0.37 1.67 Homework 23
3 0.73 4.83 VideoGames 24
3 0.42 2.79 VideoGames 25
3 0.45 7.6 VideoGames 26
3 0.24 4.74 VideoGames 27
3 0.2 1.25 VideoGames 28
3 0.39 7.47 VideoGames 29
3 0.39 1.42 VideoGames 30
3 0.82 4.25 VideoGames 31
3 1.47 4.61 PlayingOnFloor 32
3 1.2 4.6 PlayingOnFloor 33
3 0.78 3.09 PlayingOnFloor 34
3 0.76 2.11 PlayingOnFloor 35
3 0.53 1.98 PlayingOnFloor 36
3 0.69 2.02 PlayingOnFloor 37
3 0.95 4.33 PlayingOnFloor 38
3 0.34 1.51 PlayingOnFurniture 39
3 0.49 4.73 PlayingOnFurniture 40
3 0.49 0.91 PlayingOnFurniture 41
3 0.55 1.63 PlayingOnFurniture 42
3 0.55 2.56 PlayingOnFurniture 43
3 0.55 2.81 PlayingOnFurniture 44
3 0.53 3.61 PlayingOnFurniture 45
3 0.64 2.12 Computer 46
3 0.99 4.26 Computer 47
3 0.66 2.85 Computer 48
3 0.76 4.06 Computer 49
3 0.91 2.37 Computer 50
3 0.84 1.45 Computer 51
3 0.79 2.01 Computer 52
3 0.42 1.72 OnPhone 53
3 0.58 1.38 OnPhone 54
3 0.44 1.31 OnPhone 55
3 0.5 2.02 OnPhone 56
3 0.86 1.03 OnPhone 57
3 2.26 1.73 OnPhone 58
3 2.4 2.03 OnPhone 59
4 1.52 1.07 Walking 1
4 2.17 2.76 Walking 2
4 2.82 1.89 Walking 3
4 3.72 2.37 Walking 4
4 3.99 2.48 Walking 5
4 1.97 5.09 Walking 6
4 2 2.51 Walking 7
4 1.49 1.43 Walking 8
4 2.64 1.18 Homework 9
4 2.78 2.75 Homework 10
4 3.17 2.62 Homework 11
4 4.18 1.36 Homework 12
4 5.78 1.74 Homework 13
4 5.35 2.1 Homework 14
4 5.32 2.43 Homework 15
4 5.3 3.97 Homework 16
4 4.77 2.65 VideoGames 17
4 3.77 6.79 VideoGames 18
4 3.03 5.05 VideoGames 19
4 1.81 1.96 VideoGames 20
4 1.48 4.37 VideoGames 21
4 1.55 3.35 VideoGames 22
4 2.1 5.99 VideoGames 23
4 2.55 2.4 VideoGames 24
4 1.46 1.38 WatchingTV 25
4 1.63 1.52 WatchingTV 26
4 3.71 1.99 WatchingTV 27
4 4.68 2.33 WatchingTV 28
4 3.87 3.18 WatchingTV 29
4 4.09 4.33 WatchingTV 30
4 4.39 3.97 WatchingTV 31
4 3.82 3.07 Computer 32
4 2.78 3.11 Computer 33
4 2.47 1.65 Computer 34
4 2.97 7.54 Computer 35
4 1.95 2.75 Computer 36
4 2.2 6.08 Computer 37
4 2.11 4.25 Computer 38
4 3.34 3.45 OnPhone 39
4 4.09 2.01 OnPhone 40
4 3.17 2.16 OnPhone 41
4 4.35 3.57 OnPhone 42
4 6.09 2.79 OnPhone 43
4 4.8 1.17 OnPhone 44
4 4.93 4.42 OnPhone 45
4 2.59 3.6 PlayingOnFurniture 46
4 4.31 1.89 PlayingOnFurniture 47
4 3.93 3.26 PlayingOnFurniture 48
4 4.33 2.8 PlayingOnFurniture 49
4 5.27 1.18 PlayingOnFurniture 50
4 5.04 1.35 PlayingOnFurniture 51
4 5.42 0.8 PlayingOnFurniture 52
4 4.48 1.16 PlayingOnFurniture 53
4 17.54 0.98 PlayingOnFloor 54
4 13.74 4.53 PlayingOnFloor 55
4 8.76 3.51 PlayingOnFloor 56
4 5.8 2.3 PlayingOnFloor 57
4 6.69 1.76 PlayingOnFloor 58
4 9.62 1.25 PlayingOnFloor 59
5 5.23 3.05 Walking 1
5 3.12 2.72 Walking 2
5 3.56 3.65 Walking 3
5 2.23 0.97 Walking 4
5 4.41 4.17 Walking 5
5 5.25 7.03 Walking 6
5 4.97 2.39 Walking 7
5 2.16 2.32 Homework 8
5 3.29 4.14 Homework 9
5 1.87 1.76 Homework 10
5 1.73 1.96 Homework 11
5 1.69 2.28 Homework 12
5 1.84 1.78 Homework 13
5 3.64 2.1 Homework 14
5 3.68 2.04 Computer 15
5 5.25 4.55 Computer 16
5 2.76 2.01 Computer 17
5 2.74 3.86 Computer 18
5 2.27 3.12 Computer 19
5 2.44 3.82 Computer 20
5 4.56 4.49 Computer 21
5 15.04 1.74 PlayingOnFurniture 22
5 21.06 2.35 PlayingOnFurniture 23
5 15.48 2.73 PlayingOnFurniture 24
5 18.79 5.17 PlayingOnFurniture 25
5 18.49 3.83 PlayingOnFurniture 26
5 15.28 3.54 PlayingOnFurniture 27
5 19.44 6.49 PlayingOnFurniture 28
5 7.92 3.69 PlayingOnFurniture 29
5 1.56 1.55 OnPhone 30
5 3.24 5.3 OnPhone 31
5 2.27 2.69 OnPhone 32
5 1.77 1.5 OnPhone 33
5 1.93 2.42 OnPhone 34
5 2.26 4.01 OnPhone 35
5 1.96 2.04 OnPhone 36
5 2.75 2.84 OnPhone 37
5 2.02 1.76 PlayingOnFloor 38
5 4.71 2.7 PlayingOnFloor 39
5 7.49 5.91 PlayingOnFloor 40
5 5.31 3.2 PlayingOnFloor 41
5 5.86 3.23 PlayingOnFloor 42
5 5.11 2.72 PlayingOnFloor 43
5 4.56 1.94 PlayingOnFloor 44
5 7.66 5.09 VideoGames 45
5 4.06 1.56 VideoGames 46
5 4.17 1.55 VideoGames 47
5 4.18 1.43 VideoGames 48
5 7.7 2.4 VideoGames 49
5 6.46 1.24 VideoGames 50
5 6.48 2.67 VideoGames 51
5 4.57 1.22 VideoGames 52
5 5.63 3.22 VideoGames 53
5 2.31 1.2 WatchingTV 54
5 3.53 2.23 WatchingTV 55
5 5.6 3.85 WatchingTV 56
5 4.63 1.6 WatchingTV 57
5 5.54 2.75 WatchingTV 58
5 5.08 2.6 WatchingTV 59
6 7.64 1.08 PlayingOnFloor 1
6 8.54 0.85 PlayingOnFloor 2
6 14.89 1.96 PlayingOnFloor 3
6 10.85 2.91 PlayingOnFloor 4
6 5.5 2.81 PlayingOnFloor 5
6 6.43 2.83 PlayingOnFloor 6
6 2.4 2.41 Walking 7
6 2.77 1.89 Walking 8
6 3.18 2.29 Walking 9
6 4.17 2.66 Walking 10
6 3.49 3.57 Walking 11
6 3.09 1.53 Walking 12
6 2.43 1.61 Walking 13
6 3.89 2.38 Walking 14
6 3.19 2.52 WatchingTV 15
6 3.24 0.96 WatchingTV 16
6 2.66 2.15 WatchingTV 17
6 2.65 3.58 WatchingTV 18
6 3.44 2.33 WatchingTV 19
6 1.52 1.19 WatchingTV 20
6 1.22 0.69 WatchingTV 21
6 0.92 1.38 WatchingTV 22
6 1.46 4.72 Homework 23
6 1.09 3.52 Homework 24
6 0.88 1.3 Homework 25
6 1.64 2.19 Homework 26
6 1.01 1.37 Homework 27
6 0.65 1.55 Homework 28
6 0.7 1.84 Homework 29
6 0.79 1.68 Homework 30
6 0.78 1.22 PlayingOnFurniture 31
6 0.96 3 PlayingOnFurniture 32
6 0.85 2.99 PlayingOnFurniture 33
6 1.09 2.28 PlayingOnFurniture 34
6 0.76 3.06 PlayingOnFurniture 35
6 0.43 2.23 PlayingOnFurniture 36
6 0.44 4 PlayingOnFurniture 37
6 1.16 2.23 OnPhone 38
6 1.19 2.23 OnPhone 39
6 1.4 4.97 OnPhone 40
6 1.34 2.44 OnPhone 41
6 1.76 1.15 OnPhone 42
6 1.62 0.59 OnPhone 43
6 1.69 1.53 OnPhone 44
6 0.94 2.2 Computer 45
6 1.02 3.91 Computer 46
6 0.88 1.96 Computer 47
6 1.14 1.97 Computer 48
6 1.2 4.99 Computer 49
6 1.18 3.31 Computer 50
6 1.17 0.94 Computer 51
6 1.34 4.94 Computer 52
6 2.25 1.87 VideoGames 53
6 1.81 2.45 VideoGames 54
6 1.79 3.7 VideoGames 55
6 1.95 3.09 VideoGames 56
6 1.7 3.81 VideoGames 57
6 2.22 3.45 VideoGames 58
6 2.95 1.88 VideoGames 59
7 5.89 2.79 PlayingOnFurniture 1
7 6.82 2.42 PlayingOnFurniture 2
7 9.38 2.64 PlayingOnFurniture 3
7 6.51 3.32 PlayingOnFurniture 4
7 10.72 3.81 PlayingOnFurniture 5
7 7.68 2.06 PlayingOnFurniture 6
7 7 1.53 PlayingOnFurniture 7
7 5.05 3.84 PlayingOnFurniture 8
7 7.02 5.5 PlayingOnFurniture 9
7 58.37 1.77 PlayingOnFloor 10
7 53.83 4.12 PlayingOnFloor 11
7 71.08 3.83 PlayingOnFloor 12
7 53.07 1.58 PlayingOnFloor 13
